"","dyad_name","gender","GES_score","age","language","parent","experience","regular_contact","ID","id_in_group","stim_category","stim_number","time","soundLevel","startSound","RT","RT_from_onset","position","response"
"31","ELEGANT MAUVE CIVET","Female",1.56,22,"Other","No","No","No","1 ELEGANT MAUVE CIVET",1,"Alarm",3,16:29:00,4,48060,0,0,"Left","none"
"32","ELEGANT MAUVE CIVET","Female",1.56,22,"Other","No","No","No","1 ELEGANT MAUVE CIVET",1,"Cries",2,16:30:22,4,48057,0,0,"Left","Left"
"33","ELEGANT MAUVE CIVET","Female",1.56,22,"Other","No","No","No","1 ELEGANT MAUVE CIVET",1,"Cries",3,16:40:11,4,48056,0,0,"Left","none"
"34","ELEGANT MAUVE CIVET","Female",1.56,22,"Other","No","No","No","1 ELEGANT MAUVE CIVET",1,"Alarm",2,16:41:56,4,48048,0,0,"Left","none"
"35","ELEGANT MAUVE CIVET","Female",1.56,22,"Other","No","No","No","1 ELEGANT MAUVE CIVET",1,"Alarm",4,16:36:06,4,48051,0,0,"Left","none"
"36","ETHICAL RUBY WEASEL","Male",2.32,24,"Danish","No","No","No","1 ETHICAL RUBY WEASEL",1,"Alarm",4,17:55:09,4,48048,0,0,"Left","none"
"37","ETHICAL RUBY WEASEL","Male",2.32,24,"Danish","No","No","No","1 ETHICAL RUBY WEASEL",1,"Alarm",1,17:58:17,4,48058,0,0,"Left","none"
"38","ETHICAL RUBY WEASEL","Male",2.32,24,"Danish","No","No","No","1 ETHICAL RUBY WEASEL",1,"Cries",1,18:00:33,4,48057,0,0,"Left","none"
"39","ETHICAL RUBY WEASEL","Male",2.32,24,"Danish","No","No","No","1 ETHICAL RUBY WEASEL",1,"Alarm",2,18:05:19,4,48057,0,0,"Left","none"
"40","ETHICAL RUBY WEASEL","Male",2.32,24,"Danish","No","No","No","1 ETHICAL RUBY WEASEL",1,"Cries",2,18:07:55,4,48056,0,0,"Left","none"
"41","ETHICAL RUBY WEASEL","Male",2.32,24,"Danish","No","No","No","1 ETHICAL RUBY WEASEL",1,"Cries",3,18:09:39,4,48058,0,0,"Left","none"
